epoch_prev,epoch_curr,drs_value,drs_change,below_tau
5,10,0.696599,0.303401,0
15,20,0.835975,0.164025,0
25,30,0.83647,0.16353,0
35,40,0.824603,0.175397,0
45,50,0.783918,0.216082,0
55,60,0.819306,0.180694,0
65,70,0.808142,0.191858,0
75,80,0.818172,0.181828,0
85,90,0.84747,0.15253,0
95,100,0.825918,0.174082,0
105,110,0.879337,0.120663,0
115,120,0.874478,0.125522,0
125,130,0.870814,0.129186,0
135,140,0.866212,0.133788,0
145,150,0.892338,0.107662,0
155,160,0.866695,0.133305,0
165,170,0.842627,0.157373,0
175,180,0.870638,0.129362,0
185,190,0.851266,0.148734,0
195,200,0.876675,0.123325,0
205,210,0.880591,0.119409,0
215,220,0.86233,0.13767,0
225,230,0.869802,0.130198,0
235,240,0.886671,0.113329,0
245,250,0.870322,0.129678,0
255,260,0.895178,0.104822,0
265,270,0.885917,0.114083,0
275,280,0.90954,0.09046,0
285,290,0.89651,0.10349,0
295,300,0.885533,0.114467,0
