seed,lr_a,lr_b,max_cka,epoch_a_at_max,epoch_b_at_max,epoch_difference_at_max,final_epoch,final_final_cka
0,0.05,0.1,1.0,0,0,0,200,0.9629975296847656
0,0.05,0.2,1.0,0,0,0,200,0.9511309508154214
0,0.1,0.2,1.0,0,0,0,200,0.9561544226052222
1,0.05,0.1,1.0,0,0,0,200,0.9562662052478349
1,0.05,0.2,1.0,0,0,0,200,0.9474067939480584
1,0.1,0.2,1.0,0,0,0,200,0.9476123823735295
2,0.05,0.1,1.0,0,0,0,200,0.9631698509425481
2,0.05,0.2,1.0,0,0,0,200,0.9492708913106583
2,0.1,0.2,1.0,0,0,0,200,0.9531147993764716
3,0.05,0.1,1.0,0,0,0,200,0.9606071547368248
3,0.05,0.2,1.0,0,0,0,200,0.9437729083932774
3,0.1,0.2,1.0,0,0,0,200,0.9483784704437027
42,0.05,0.1,1.0,0,0,0,200,0.9627191129221097
42,0.05,0.2,1.0,0,0,0,200,0.9481022105761218
42,0.1,0.2,1.0,0,0,0,200,0.951456512984961
