lr,probe,delta,mean_epoch,std_epoch,n,mean_final_network_acc,mean_final_probe_acc
0.05,Logistic,0.05,24.4,2.0,5,0.9528,0.9529
0.05,Logistic,0.02,138.0,4.0,5,0.9528,0.9529
0.05,Logistic,0.01,158.0,4.0,5,0.9528,0.9529
0.05,Linear SVM,0.05,49.0,5.8,5,0.9528,0.9524
0.05,Linear SVM,0.02,140.0,0.0,5,0.9528,0.9524
0.05,Linear SVM,0.01,158.0,4.0,5,0.9528,0.9524
0.05,RBF SVM,0.05,45.0,9.5,5,0.9528,0.9532
0.05,RBF SVM,0.02,140.0,0.0,5,0.9528,0.9532
0.05,RBF SVM,0.01,156.0,4.9,5,0.9528,0.9532
0.10,Logistic,0.05,68.0,7.5,5,0.9552,0.9553
0.10,Logistic,0.02,156.0,4.9,5,0.9552,0.9553
0.10,Logistic,0.01,170.0,0.0,5,0.9552,0.9553
0.10,Linear SVM,0.05,96.0,4.9,5,0.9552,0.9546
0.10,Linear SVM,0.02,158.0,4.0,5,0.9552,0.9546
0.10,Linear SVM,0.01,170.0,0.0,5,0.9552,0.9546
0.10,RBF SVM,0.05,94.0,4.9,5,0.9552,0.9554
0.10,RBF SVM,0.02,158.0,4.0,5,0.9552,0.9554
0.10,RBF SVM,0.01,170.0,0.0,5,0.9552,0.9554
0.20,Logistic,0.05,114.0,4.9,5,0.9505,0.9503
0.20,Logistic,0.02,166.0,4.9,5,0.9505,0.9503
0.20,Logistic,0.01,180.0,0.0,5,0.9505,0.9503
0.20,Linear SVM,0.05,134.0,4.9,5,0.9505,0.9501
0.20,Linear SVM,0.02,170.0,0.0,5,0.9505,0.9501
0.20,Linear SVM,0.01,180.0,0.0,5,0.9505,0.9501
0.20,RBF SVM,0.05,132.0,4.0,5,0.9505,0.95
0.20,RBF SVM,0.02,168.0,4.0,5,0.9505,0.95
0.20,RBF SVM,0.01,180.0,0.0,5,0.9505,0.95
