epoch,n_samples,local_cka_change,cka_to_final,mean_future_cka,below_tau
0,2040,nan,0.038584,0.05353,0
1,2040,0.903717,0.453215,0.571864,0
2,2040,0.277852,0.520363,0.616999,0
3,2040,0.213339,0.6301,0.73431,0
4,2040,0.26765,0.504353,0.602152,0
5,2040,0.340473,0.664177,0.757489,0
6,2040,0.179908,0.639495,0.728354,0
7,2040,0.156136,0.692209,0.774001,0
8,2040,0.121551,0.704746,0.78825,0
9,2040,0.132884,0.691724,0.767828,0
10,2040,0.161585,0.72271,0.78255,0
11,2040,0.133445,0.72192,0.77982,0
12,2040,0.199406,0.702845,0.771289,0
13,2040,0.182618,0.712184,0.774578,0
14,2040,0.109925,0.743609,0.801531,0
15,2040,0.185103,0.729293,0.77216,0
16,2040,0.196971,0.745589,0.79499,0
17,2040,0.142177,0.762534,0.80551,0
18,2040,0.136443,0.742374,0.787564,0
19,2040,0.12899,0.759081,0.796446,0
20,2040,0.152606,0.752007,0.788672,0
22,2040,0.163709,0.756278,0.79201,0
24,2040,0.170436,0.770328,0.799759,0
26,2040,0.175886,0.776959,0.80096,0
28,2040,0.142542,0.785359,0.808644,0
30,2040,0.142798,0.787775,0.808305,0
35,2040,0.162246,0.797319,0.809053,0
40,2040,0.197651,0.791496,0.804946,0
45,2040,0.153409,0.804936,0.813629,0
50,2040,0.138124,0.825682,0.828885,0
60,2040,0.169367,0.814633,0.820743,0
70,2040,0.165553,0.823585,0.827075,0
80,2040,0.173391,0.842716,0.838916,0
90,2040,0.164237,0.843932,0.841169,0
100,2040,0.150769,0.863963,0.860952,0
110,2040,0.150031,0.87076,0.8676,0
120,2040,0.132022,0.894792,0.889339,0
130,2040,0.125466,0.891615,0.887554,0
140,2040,0.1167,0.923625,0.922555,0
150,2040,0.08073,0.948574,0.948888,0
160,2040,0.054825,0.984647,0.984699,0
170,2040,0.015498,0.995879,0.996147,1
180,2040,0.003617,0.998804,0.998865,1
190,2040,0.001074,0.99934,0.99934,1
200,2040,0.00066,1.0,nan,1
