epoch,entk_distance_prev,entk_distance_final,mean_future_entk_similarity,entk_within_class_mean,entk_between_class_mean,entk_within_between_ratio,n_subset,per_class_subset_size,bias_included
0,nan,0.06802715,0.85373779,1242.19870612,0.0,1242198706118499.8,500,50,1
1,0.20741749,0.09138212,0.84341794,17.89253341,0.0,17892533407843.645,500,50,1
2,0.16318174,0.11586579,0.89580365,26.64781759,0.0,26647817585167.355,500,50,1
3,0.08312538,0.19128211,0.86734553,22.57612041,0.0,22576120409753.8,500,50,1
4,0.12137779,0.06923187,0.92061383,21.87081259,0.0,21870812585645.246,500,50,1
5,0.09394066,0.16356249,0.88620722,22.56015312,0.0,22560153123826.383,500,50,1
6,0.06859953,0.18026047,0.86623688,30.66925023,0.0,30669250225510.51,500,50,1
7,0.07032003,0.17640199,0.88934841,29.43108989,0.0,29431089893114.76,500,50,1
8,0.07025259,0.10986467,0.91997538,24.5513191,0.0,24551319104451.64,500,50,1
9,0.06335362,0.11873414,0.91447642,26.34344918,0.0,26343449180812.707,500,50,1
10,0.06538228,0.07838676,0.92936518,19.78924029,0.0,19789240290190.21,500,50,1
11,0.07520521,0.11346956,0.90520054,23.81995087,0.0,23819950865522.48,500,50,1
12,0.11746704,0.11996979,0.89647435,28.45710088,0.0,28457100877244.117,500,50,1
13,0.1074685,0.11720606,0.90777375,26.12977258,0.0,26129772577248.387,500,50,1
14,0.08343537,0.13667764,0.90213326,31.98303766,0.0,31983037658139.152,500,50,1
15,0.089248,0.17262174,0.88044163,28.537849,0.0,28537849001998.047,500,50,1
16,0.09527409,0.0938843,0.92406301,25.84287401,0.0,25842874005749.297,500,50,1
17,0.082028,0.14519608,0.88432744,30.75757822,0.0,30757578223485.91,500,50,1
18,0.15290908,0.14204338,0.89563073,26.68970613,0.0,26689706130269.508,500,50,1
19,0.06449659,0.1497604,0.89288036,26.36647405,0.0,26366474051481.41,500,50,1
20,0.06458822,0.11573093,0.91431194,30.68040847,0.0,30680408471084.39,500,50,1
22,0.06315658,0.10034353,0.91803999,26.95306231,0.0,26953062309996.633,500,50,1
24,0.06454824,0.13910567,0.8850525,30.81467817,0.0,30814678173720.68,500,50,1
26,0.06814291,0.11393733,0.90474616,26.96719932,0.0,26967199315929.9,500,50,1
28,0.10493236,0.14316842,0.88800132,32.0724249,0.0,32072424903741.207,500,50,1
30,0.07287277,0.10967653,0.91208063,29.65901034,0.0,29659010335322.4,500,50,1
35,0.08385842,0.1583859,0.87503365,31.08859522,0.0,31088595220159.57,500,50,1
40,0.14938305,0.09502455,0.91963915,32.10210623,0.0,32102106233084.293,500,50,1
45,0.07060189,0.09273464,0.92255009,30.61436462,0.0,30614364623274.246,500,50,1
50,0.05065235,0.0834997,0.92942331,32.56648256,0.0,32566482555132.227,500,50,1
60,0.06875458,0.0748533,0.92603019,35.5207681,0.0,35520768102013.61,500,50,1
70,0.11968759,0.11883984,0.90447527,35.17622923,0.0,35176229225309.2,500,50,1
80,0.06441806,0.11358264,0.90543222,37.31876513,0.0,37318765130155.96,500,50,1
90,0.07891193,0.07431656,0.93703973,37.77565395,0.0,37775653948251.36,500,50,1
100,0.05509444,0.07361486,0.93861119,38.71070127,0.0,38710701272615.32,500,50,1
110,0.05487923,0.05837483,0.94674994,45.131919,0.0,45131919003667.38,500,50,1
120,0.0503923,0.04500124,0.96081115,47.80516136,0.0,47805161364332.45,500,50,1
130,0.03720334,0.03564665,0.96481154,47.06517885,0.0,47065178851907.49,500,50,1
140,0.03542286,0.02821177,0.97372922,48.7174308,0.0,48717430795630.0,500,50,1
150,0.02461672,0.01840807,0.98214404,46.05009008,0.0,46050090077509.24,500,50,1
160,0.01722273,0.007659,0.99168455,46.35491289,0.0,46354912889982.59,500,50,1
170,0.00846298,0.00185123,0.99806733,44.23074704,0.0,44230747038121.43,500,50,1
180,0.00191784,0.00056993,0.9992511,43.37101683,0.0,43371016829185.9,500,50,1
190,0.00092788,0.00065629,0.99934371,43.1659856,0.0,43165985604851.88,500,50,1
200,0.00065629,-0.0,nan,43.26072668,0.0,43260726679874.39,500,50,1
