epoch,lr,train_loss,train_acc,test_loss,test_acc
0,0.2,nan,nan,2.6852021198272706,0.1003
1,0.2,2.4851600995635987,0.12652,2.06955786819458,0.1784
2,0.19998766324816608,1.9385673599243165,0.24728,1.7596558345794677,0.3263
3,0.19995065603657317,1.641439204940796,0.38406,1.5786744951248168,0.4287
4,0.19988898749619702,1.4184376924133302,0.47782,2.063665116882324,0.3587
5,0.19980267284282718,1.1619686147689818,0.58316,1.1978646600723266,0.5765
6,0.19969173337331284,0.9623083047676086,0.66202,1.2769234655380248,0.5748
7,0.19955619646030803,0.8280034174728393,0.71034,1.0944685708999633,0.6556
8,0.19939609554551802,0.7433259333419799,0.74358,0.84238472032547,0.7276
9,0.19921147013144783,0.6984388100624085,0.75984,0.8657480126380921,0.719
10,0.19900236577165578,0.6729145377922058,0.7681,1.124064851284027,0.6421
11,0.19876883405951382,0.6367960283756257,0.78128,0.6599708377838135,0.7748
12,0.19851093261547742,0.6247534805107117,0.7853,0.6805569990158081,0.7715
13,0.1982287250728689,0.6045678186416626,0.79454,0.7351751686096192,0.75
14,0.1979222810621766,0.5973638886451721,0.7957,0.8643513753890991,0.7152
15,0.19759167619387477,0.5786764791870117,0.80112,0.8973015604972839,0.7021
16,0.1972369920397677,0.5760122552871704,0.80344,1.1179651505470276,0.6671
17,0.19685831611286314,0.568861239156723,0.80718,0.7327699820518494,0.7495
18,0.19645574184577985,0.5610515159034729,0.80882,0.7745722246170044,0.7452
19,0.19602936856769435,0.5509080396652222,0.80992,0.6722268500328064,0.769
20,0.19557930147983305,0.5493799101161957,0.81168,0.638783277797699,0.7821
21,0.1951056516295154,0.5446726519393921,0.81472,0.8829849500656128,0.7116
22,0.19460853588275456,0.5376602883529663,0.8173,0.8523506267547607,0.7241
23,0.19408807689542257,0.535164634437561,0.81928,0.7003299415588379,0.7658
24,0.19354440308298676,0.536864222202301,0.81846,0.872182227230072,0.7244
25,0.19297764858882516,0.5251395015144348,0.82212,1.1008247859954834,0.6897
26,0.1923879532511287,0.5271997694969177,0.81952,0.698621396446228,0.7646
27,0.19177546256839811,0.5219874394226074,0.82244,0.7817193050384521,0.7382
28,0.19114032766354452,0.520580293006897,0.82292,0.6336925875663757,0.792
29,0.19048270524660196,0.5102989641189575,0.8265,0.8959338312149048,0.7332
30,0.18980275757606158,0.5175164990520478,0.82378,0.6739045318126679,0.7827
31,0.1891006524188368,0.5123433096122741,0.82662,0.8289269474029541,0.735
32,0.1883765630088694,0.5113587845802308,0.82502,0.6379439818382263,0.7894
33,0.18763066800438638,0.5067871723365783,0.82778,0.6921671805381775,0.7729
34,0.18686315144381915,0.5072505591583252,0.82866,0.6098886901855469,0.7933
35,0.1860742027003944,0.49885327577590943,0.83146,0.7201850869178772,0.7589
36,0.18526401643540927,0.4983627968597412,0.83044,0.6523989621162415,0.7847
37,0.18443279255020156,0.4961303073310852,0.8313,0.8485314111709594,0.7263
38,0.1835807361368271,0.49178077508926393,0.83222,0.8069153560638428,0.7472
39,0.18270805742745624,0.4949308317184448,0.8316,0.8317324675559997,0.7327
40,0.1818149717425024,0.4879721180725098,0.83494,0.6509196041107178,0.7719
41,0.18090169943749482,0.48509529232025145,0.8356,0.762773131942749,0.757
42,0.17996846584870915,0.4837140047454834,0.83548,0.5568926495552063,0.8186
43,0.1790155012375691,0.48116663438796997,0.837,0.5833912404060364,0.8091
44,0.17804304073383306,0.48526324303627016,0.83518,0.66714586353302,0.7823
45,0.17705132427757903,0.4807796056556702,0.83596,0.5547512619018554,0.8153
46,0.1760405965600032,0.47327296840667726,0.83872,1.0348958555221557,0.6916
47,0.17501110696304606,0.4720995055389404,0.83902,0.5244351448059082,0.8232
48,0.17396310949786103,0.4712685242652893,0.84,0.7285459328651428,0.7544
49,0.17289686274214122,0.47076623546600344,0.838,0.6153754809379578,0.7981
50,0.17181262977631895,0.4635524570274353,0.84334,0.7235362788200378,0.7646
51,0.1707106781186548,0.46956653491973877,0.84064,0.7856858039855957,0.7504
52,0.1695912796592315,0.4662436722946167,0.84124,0.6860012473106384,0.7708
53,0.16845471059286893,0.4581780644035339,0.84496,0.5239845076560974,0.8225
54,0.16730125135097737,0.4548763307380676,0.84688,0.8776177363395691,0.7278
55,0.16613118653236522,0.45581358304977415,0.84464,0.7688593379974366,0.7668
56,0.1649448048330184,0.4552433851623535,0.84452,0.7367842235565185,0.7599
57,0.163742398974869,0.447692493391037,0.84622,0.920997883605957,0.7182
58,0.16252426563357056,0.45347603216171267,0.84634,0.6183656516075134,0.7919
59,0.1612907053652977,0.44965965598106383,0.84686,0.8199316617488861,0.7346
60,0.16004202253258842,0.4500223615264893,0.84702,0.5380011426448822,0.8179
61,0.15877852522924735,0.4413243614292145,0.85152,0.8107466806411743,0.7353
62,0.1575005252043279,0.4447091114616394,0.85114,0.8357164783477783,0.7366
63,0.15620833778521312,0.4412529077720642,0.84998,0.590181364440918,0.8131
64,0.15490228179981322,0.43644649931907653,0.84994,0.5414391810417175,0.8201
65,0.1535826794978997,0.43083413960456846,0.8542,0.6066538160800934,0.7995
66,0.15224985647159492,0.4286132200050354,0.85556,0.6335731684684753,0.7984
67,0.15090414157503718,0.43315350540161135,0.8541,0.5744598096847534,0.8121
68,0.1495458668432408,0.43205895746231077,0.85444,0.5571361411571503,0.8152
69,0.14817536741017157,0.4235573149204254,0.85618,0.500420806980133,0.8366
70,0.1467929814260574,0.4235898533725739,0.8575,0.8006728435516357,0.7519
71,0.14539904997395472,0.41624475143432615,0.85872,0.7135735011100769,0.7641
72,0.14399391698559155,0.42040338329315186,0.85616,0.4904843985557556,0.839
73,0.14257792915650733,0.4190085072135925,0.8572,0.6327596943855286,0.7904
74,0.14115143586051096,0.4127519012737274,0.8591,0.5640385242462158,0.8135
75,0.13971478906347812,0.41390312354087827,0.85862,0.5730582868099212,0.8107
76,0.13826834323650905,0.4074850532913208,0.86204,0.5504923681259155,0.8158
77,0.1368124552684679,0.40775728808403017,0.8646,0.6116389452457428,0.8026
78,0.1353474843779258,0.4021108864021301,0.86256,0.6285070137023926,0.7861
79,0.13387379202452923,0.40210435483932494,0.86338,0.5193243027687072,0.8259
80,0.13239174181981503,0.39447818712234495,0.86468,0.8089681594848633,0.7392
81,0.13090169943749483,0.39186327517986297,0.86602,0.578405860710144,0.8029
82,0.1294040325232305,0.3951979253959656,0.86658,0.6240474575996399,0.8073
83,0.12789911060392303,0.3898532156944275,0.86858,0.7255242372512818,0.7683
84,0.12638730499653736,0.3848397300720215,0.86878,0.5798970363140106,0.8076
85,0.12486898871648554,0.3868907641220093,0.8689,0.604777338886261,0.8009
86,0.12334453638559063,0.38097614683151243,0.87126,0.5610260028839111,0.8155
87,0.12181432413965436,0.3780286454963684,0.87002,0.7922454205513001,0.7623
88,0.12027872953565136,0.37616056619644167,0.87142,0.593100413608551,0.799
89,0.11873813145857258,0.36998332120895383,0.8758,0.5028862538814545,0.8333
90,0.11719291002794104,0.36724161306381226,0.8745,0.43276536381244657,0.8597
91,0.11564344650402318,0.3681862776660919,0.8753,0.6305406809806824,0.7903
92,0.11409012319375837,0.36234409888267516,0.8773,0.6540780451774597,0.7927
93,0.11253332335643053,0.3598227816104889,0.8777,0.4112473692893982,0.8598
94,0.11097343110910461,0.3554803071212769,0.87886,0.5481897670269013,0.82
95,0.1094108313318515,0.3514580077934265,0.87908,0.6247841610908508,0.8003
96,0.10784590957278457,0.3486100719642639,0.88012,0.5476431312561035,0.8269
97,0.10627905195293141,0.34803099193573,0.88106,0.6540149647712707,0.7954
98,0.10471064507096432,0.3430616041946411,0.88266,0.46491459059715273,0.8444
99,0.10314107590781289,0.33877941259384153,0.88602,0.47016824350357056,0.8442
100,0.10157073173118213,0.3365213971042633,0.88462,0.45241753177642824,0.8512
101,0.10000000000000005,0.32767182890892027,0.88832,0.5140473828792572,0.8306
102,0.098429268268818,0.33095275579452516,0.88572,0.5845652658462525,0.8111
103,0.09685892409218722,0.328405717048645,0.88698,0.5242546942710876,0.821
104,0.09528935492903579,0.3227426740455627,0.89136,0.4538745660305023,0.8515
105,0.09372094804706871,0.3201219659614563,0.89236,0.4545144454956055,0.8436
106,0.09215409042721556,0.31908300631523134,0.8918,0.4266415855407715,0.8566
107,0.09058916866814862,0.30707284192085266,0.89516,0.4124825490951538,0.8637
108,0.08902656889089552,0.308152217502594,0.89538,0.39943655545711515,0.8649
109,0.08746667664356964,0.30214220618247983,0.89604,0.4680757613182068,0.8483
110,0.0859098768062418,0.30404831956863404,0.89708,0.5616869466781617,0.8097
111,0.08435655349597697,0.29974729261398314,0.89724,0.3971776275634766,0.8665
112,0.08280708997205909,0.2892666826248169,0.9003,0.41044837083816527,0.8605
113,0.0812618685414276,0.29368438974380495,0.89926,0.3879371611118317,0.8701
114,0.07972127046434882,0.28700132730484007,0.90234,0.45857009561061857,0.8555
115,0.07818567586034583,0.2801608780860901,0.90396,0.4138848330497742,0.8651
116,0.0766554636144095,0.28060695755004883,0.90376,0.5753873730659484,0.8252
117,0.07513101128351457,0.2792761664867401,0.90476,0.40290706169605256,0.8625
118,0.07361269500346276,0.269250997672081,0.90852,0.5035342180252075,0.8402
119,0.07210088939607713,0.2645701106929779,0.91008,0.36476987509727476,0.8789
120,0.07059596747676966,0.263690670003891,0.90974,0.45233645596504213,0.8535
121,0.06909830056250534,0.2607251541519165,0.91026,0.39205103936195373,0.8707
122,0.0676082581801851,0.25486450585365295,0.91422,0.48721826763153075,0.8466
123,0.0661262079754709,0.24808749390125276,0.91522,0.45832695598602297,0.8531
124,0.06465251562207434,0.24908185192108154,0.91554,0.37674527955055237,0.8765
125,0.06318754473153226,0.2444088836336136,0.91678,0.42062753896713256,0.8674
126,0.061731656763491086,0.23559394394874572,0.9195,0.36253816738128664,0.8803
127,0.06028521093652196,0.2327421385192871,0.92014,0.40988157606124875,0.8685
128,0.05884856413948916,0.23808745913505555,0.91714,0.36399357900619506,0.8792
129,0.057422070843492774,0.22059598097801209,0.9254,0.33716307983398436,0.8886
130,0.05600608301440852,0.22036388098716736,0.92392,0.3635630264401436,0.8797
131,0.05460095002604536,0.21788597270011903,0.92532,0.36211200532913207,0.8861
132,0.053207018573942715,0.21505834581375122,0.92596,0.39161803455352784,0.8768
133,0.05182463258982849,0.20746638062477113,0.9291,0.31994495010972024,0.8948
134,0.050454133156759264,0.2025032434654236,0.92946,0.3697356910228729,0.8812
135,0.04909585842496289,0.200715189037323,0.93072,0.30786971316337586,0.9001
136,0.04775014352840514,0.19714031399726867,0.93262,0.3352981241941452,0.8924
137,0.04641732050210033,0.18835274343490602,0.93458,0.31323114018440246,0.8995
138,0.04509771820018683,0.18510990203857422,0.9358,0.3059366280078888,0.8987
139,0.04379166221478695,0.1813671550655365,0.93748,0.36695332448482515,0.8801
140,0.04249947479567216,0.17400165842056275,0.93932,0.37363719863891603,0.8803
141,0.04122147477075272,0.17369633483409883,0.94038,0.3339668559074402,0.8952
142,0.03995797746741163,0.16608684691429138,0.94276,0.3846106972694397,0.8805
143,0.03870929463470236,0.15989301784038543,0.94406,0.3134871255159378,0.9015
144,0.037475734366429495,0.15306201095581054,0.94796,0.30250790071487427,0.9017
145,0.03625760102513104,0.15145396080493928,0.94842,0.31451028060913083,0.9019
146,0.035055195166981655,0.14581154642343522,0.95052,0.39927800426483157,0.8758
147,0.03386881346763484,0.14080263083457947,0.95142,0.3453517136096954,0.8936
148,0.03269874864902267,0.13957305473566056,0.9524,0.3854949513435364,0.8817
149,0.03154528940713114,0.13542641535758973,0.9534,0.30537718517780305,0.9047
150,0.03040872034076858,0.12215337460041047,0.95802,0.33856869745254514,0.8931
151,0.029289321881345264,0.1259004697227478,0.95686,0.28929336218833923,0.9113
152,0.02818737022368114,0.11334667735815049,0.96056,0.3047901662826538,0.904
153,0.027103137257858876,0.11567508332014084,0.96064,0.31242913217544555,0.9046
154,0.026036890502139032,0.10650698635816574,0.96416,0.2770014063596725,0.9166
155,0.024988893036954053,0.1036968743467331,0.96486,0.32050771989822385,0.9071
156,0.023959403439996918,0.09755310864448548,0.96732,0.2833041700839996,0.9134
157,0.022948675722421097,0.09001888264656067,0.9691,0.2881302391290665,0.9126
158,0.021956959266167052,0.08966677101373673,0.97008,0.282704309463501,0.9139
159,0.020984498762430966,0.08335217396259308,0.97174,0.2678790569603443,0.9178
160,0.02003153415129095,0.0771784569644928,0.97452,0.29863048758506777,0.9108
161,0.019098300562505274,0.07345389478683471,0.97478,0.29683289966583254,0.9117
162,0.01818502825749768,0.07184031562805175,0.97578,0.3175235702753067,0.9093
163,0.017291942572543836,0.06219344237685204,0.97938,0.32169260058403015,0.906
164,0.016419263863173002,0.05988061740159988,0.97972,0.2810224818944931,0.9229
165,0.015567207449798521,0.05502782400131226,0.98162,0.25512932827472684,0.9239
166,0.014735983564590811,0.04869807836532593,0.98394,0.2637344796180725,0.9273
167,0.01392579729960563,0.045529721930325034,0.98552,0.2583196957230568,0.9273
168,0.013136848556180875,0.036947313479185104,0.98844,0.2528924614787102,0.927
169,0.012369331995613648,0.03704358129501343,0.98796,0.24360620255470275,0.9295
170,0.01162343699113066,0.030122080508470536,0.99036,0.2912661236286163,0.921
171,0.010899347581163227,0.029020589916110038,0.99046,0.25302593660354616,0.93
172,0.010197242423938453,0.025292252691984176,0.99256,0.2470335834503174,0.9352
173,0.00951729475339807,0.020563021475970746,0.99378,0.2540621311187744,0.9315
174,0.0088596723364555,0.021054839159846305,0.99304,0.24231609485149383,0.9345
175,0.008224537431601914,0.016158481137156486,0.99524,0.22705981788635254,0.9393
176,0.007612046748871354,0.013611952272355557,0.9963,0.2194677178621292,0.9416
177,0.00702235141117487,0.011923838299512863,0.99676,0.21252490087747575,0.9433
178,0.006455596917013267,0.008133300343751907,0.99796,0.22352321265637876,0.9435
179,0.005911923104577458,0.007696804750114679,0.99824,0.21700054874420166,0.9434
180,0.005391464117245473,0.006425043529272079,0.99858,0.21316096276044846,0.9434
181,0.00489434837048465,0.004878685872070491,0.99916,0.2198562447786331,0.9419
182,0.004420698520166991,0.004548133491873741,0.99914,0.19938537353277205,0.9451
183,0.003970631432305707,0.00450173295751214,0.9992,0.20373555526733397,0.9456
184,0.003544258154220206,0.0035837164086103437,0.9996,0.20149867615699768,0.9459
185,0.0031416838871369058,0.0034440237351506947,0.99952,0.20489103136062622,0.946
186,0.0027630079602323464,0.0031904335007071497,0.99964,0.20537531025409697,0.9463
187,0.0024083238061252694,0.0030391804287582635,0.99956,0.19982470849752426,0.9489
188,0.0020777189378234154,0.002598483198583126,0.99972,0.20220945694446563,0.9471
189,0.001771274927131129,0.0027849605344235895,0.99972,0.1984457366704941,0.948
190,0.001489067384522614,0.0023679205126315357,0.99984,0.1976789514541626,0.9478
191,0.0012311659404862349,0.0026375504713132976,0.99972,0.19602351927757264,0.9479
192,0.000997634228344247,0.0021690669832006098,0.9999,0.19587734246253968,0.9481
193,0.0007885298685522241,0.002409157706834376,0.9998,0.19587939004898072,0.9484
194,0.0006039044544820409,0.0024098706044629217,0.99976,0.1952849648475647,0.9487
195,0.0004438035396920007,0.0021682865944877266,0.99984,0.19513483805656434,0.9486
196,0.00030826662668720383,0.002170853343605995,0.9999,0.19435906238555908,0.9484
197,0.00019732715717284425,0.0023135432487726214,0.99986,0.19580274534225464,0.9483
198,0.00011101250380300973,0.002129737353697419,0.99988,0.19450387873649597,0.949
199,4.9343963426840034e-05,0.0022567068127542734,0.99982,0.19510604090690611,0.949
200,1.2336751833941238e-05,0.0022292010500282048,0.99988,0.1967132076025009,0.9485
